_id,permalink,name,tag_type,systems_enabled,image_eeus_filename,Image,description
4dcc305602f3990cf20000b1,big-shot,Big Shot,machine_compatibility,"szus,szuk,erus",,/grid/visual_asset/image/4dfb87e402f3997c4100057f/big_shot.jpg,"<p>There's a reason why we call our shape-cutting and embossing machine a Big Shot&trade;. It's because the ever-versatile Big Shot works with the entire Sizzix&reg; product library (with the exception of Bigz&trade; Plus and Bigz Pro dies) - and that includes our smallest dies to our big 6"" wide plastic-backed treasures and embossing tools.</<p><p>If that wasn't big enough, this portable roller machine cuts and embosses many different materials. Create your own one-of-a-kind cards, invitations, scrapbook pages, home d&eacute;cor, fashion, altered art, quilting and much more! (To ensure compatibility, always check accessory requirements. Machine accessories may be sold separately.)</<p>"
4dcc305602f3990cf20000b2,big-shot-express,Big Shot Express,machine_compatibility,"szus,szuk,erus",,/grid/visual_asset/image/4dfb8996fb60b5662f000151/big_shot_express.jpg,"<p>With just the push of a button, the Big Shot&trade; Express leaves the crank behind. Instead, the motorized Big Shot Express works with the entire Sizzix&reg; product library (with the exception of Bigz&trade; Plus and Bigz Pro dies) - and that includes our smallest dies to our big 6"" wide plastic-backed treasures and embossing tools. </<p> <p>If that wasn't big enough, this portable roller machine cuts and embosses many different materials. Create your own one-of-a-kind cards, invitations, scrapbook pages, home d&eacute;cor, fashion, altered art, quilting and much more! (To ensure compatibility, always check machine and accessory requirements. Machine accessories may be sold separately.)</<p>"
54adaacaff9afc38310013b9,big-shot-plus,Big Shot Plus,machine_compatibility,"szus,szuk,erus",,/grid/visual_asset/image/54adaacaff9afc38310013ba/big_shot_plus.jpg,"<p>One shape-cutting machine does it all! The Sizzix&reg; Big Shot&trade; Plus Machine works with any Sizzix die or embossing folder up to 9"" wide to create an amazing assortment of craft shapes.</<p><p>If that wasn't enough, this powerful roller machine cuts and embosses many different materials. Create your own one-of-a-kind cards, invitations, scrapbook pages, home d&eacute;cor, fashion, altered art, quilting and much more using your favorite 8 1/2"" x 11"" materials! (To ensure compatibility, always check machine and accessory requirements. Machine accessories may be sold separately.)</<p>"
4dcc305602f3990cf20000b3,big-shot-pro,Big Shot Pro,machine_compatibility,"szus,szuk,eeus,erus",,/grid/visual_asset/image/4dfb89ec5b76e1172e0005c9/big_shot_pro.jpg,"<p>One shape-cutting machine does it all! The Sizzix&reg; Big Shot&trade; Pro Machine works with any Sizzix die or embossing folder to create an amazing assortment of craft shapes. For added versatility, these machines are compatible with SureCut&trade; dies from our Ellison&reg; education brand, plus most other brands of steel-rule dies.</<p> <p>If that wasn't enough, this industrial strength roller machine cuts and embosses many different materials. Create your own one-of-a-kind cards, invitations, scrapbook pages, home d&eacute;cor, fashion, altered art, quilting and much more! (To ensure compatibility, always check machine and accessory requirements. Machine accessories may be sold separately.)</<p>"
4dcc305602f3990cf20000b4,bigkick,BIGkick,machine_compatibility,"szus,erus",,/grid/visual_asset/image/4dfb877802f3997c41000574/medium_656300.jpg,"<p>Give a great BIGkick&trade; to your creativity! The BIGkick works with the entire Sizzix&reg; product library (with the exception of Bigz&trade; Plus and Bigz Pro dies) - and that includes our smallest dies to our big 6"" wide plastic-backed treasures and embossing tools.</<p><p>If that wasn't big enough, this portable roller machine cuts and embosses many different materials. Create your own one-of-a-kind cards, invitations, scrapbook pages, home d&eacute;cor, fashion, altered art, quilting and much more! (To ensure compatibility, always check accessory requirements. Machine accessories may be sold separately.)</<p>"
4dcc305702f3990cf20000b5,eclips,eclips,machine_compatibility,"szus,szuk,eeus,erus",,/grid/visual_asset/image/4dfb94085b76e1696a00000f/655934.jpg,"<p>Take a look at a total eclips&reg;! The eclips is the first electronic shape-cutting machine to combine the creativity of Sizzix&reg; artwork with amazing cutting, scoring and drawing precision and remote-controlled intelligence. This machine creates completely customizable shapes and letters to make cards, envelopes, scrapbook pages, bags, boxes, home d&eacute;cor projects, fashion accessories, altered art and much more! </<p><p>With the Stamp2Cut&trade; cartridges, you can cut around Tim Holtz&reg; Stampers Anonymous stamps. Another creative option is eCAL software which works with your computer to create and modify your own designs and then works with the eclips to cut, score or draw the shapes.</<p>"
528d2f85fb60b535a800017b,eclips-2,eclips2,machine_compatibility,"szus,szuk,eeus,erus",,/grid/visual_asset/image/5362e609fb60b56844000ff0/eclips2.jpg,"<p>With no cartridges required, the newly redesigned eclips&reg;2 DIY Electronic Cutter contains an enhanced motor with industrial-strength gears for speed, reduced noise, efficiency, precision cutting and more. In addition, the eclips2 is accompanied by free eCAL lite software to create your own designs, plus cut, score and draw/edit unique shapes for beautiful customized projects from the start.</<p><p>With the eclips2 and eCAL lite, you can weld multiple shapes and letters into one cut. Use Appearance Styles, like Shadow and Blackout, to quickly change the look of letters and shapes. You can also access TrueType, OpenType and fonts currently installed on your computer, including Dingbat/Wingding fonts.</<p>"
536007f202f3991a73000863,fabi,fabi,machine_compatibility,"szus,erus",,/grid/visual_asset/image/544576ae5b76e15a3e000d40/fabi_machine.jpg,"<p>The fabi&trade; Machine fabulously cuts many stylish fabric shapes to please quilters and sewers alike. The fabi is compatible with the entire Sizzix&reg; product library (with the exception of Bigz&trade; Plus and Bigz Pro dies) - and that includes our smallest dies to our big 6"" wide steel-rule dies and embossing tools.</<p><p>If that wasn't big enough, this portable roller machine cuts a wide range of materials - everything from cardstock to leather including cotton, batting, flannel, wool and much more. With the fabi, charming shapes can be easily created for appliqu&eacute;, home d&eacute;cor, fashion, quilting and many more crafts. (To ensure compatibility, always check accessory requirements.)</<p>"
4dcd4e1a02f3993abc000015,lettermachine-original,LetterMachine Original,machine_compatibility,"eeus,erus",,/grid/visual_asset/image/4dfb8a5c02f3997c30000250/15569_med.jpg,"<p>Retired but not forgotten, Ellison&reg; continues to support these machines with replacement parts and an ever-growing library of SureCut&trade; and ClearCrop&trade; Dies and lessons. Use Ellison shape-cutting equipment to create powerful combinations of reinforcing visuals and hands-on applications to help address your important curriculum and standards.</<p>"
4dcd4e1a02f3993abc000016,lettermachine-xl,LetterMachine XL,machine_compatibility,"eeus,erus",,/grid/visual_asset/image/4dfb8b61fb60b5662f000166/15575_med.jpg,"<p>Retired but not forgotten, Ellison&reg; continues to support these machines with replacement parts and an ever-growing library of SureCut&trade; and ClearCrop&trade; Dies and lessons. Use Ellison shape-cutting equipment to create powerful combinations of reinforcing visuals and hands-on applications to help address your important curriculum and standards.</<p>"
